"https://imgs.xkcd.com/comics/alien_visitors_2.png","Alien Visitors 2","""Although fresh juice DOES sound--"" ""NO! For humanity to survive we must learn from the mistakes of the past."""
"https://imgs.xkcd.com/comics/alien_visitors.png","Alien Visitors","Stay right there, we'll be back in a minute. We've just gotta brainstorm some new wonders. Have you all figured out gears yet? Yes? Crap."
"https://imgs.xkcd.com/comics/base_rate.png","Base Rate","Sure, you can talk about per-capita adjustment, but if you want to solve the problem, it's obvious that this is the group you need to focus on."
"https://imgs.xkcd.com/comics/health_drink.png","Health Drink","You'd need to keep track of so many people! Would you use, like, Excel or something? Far too fancy for a simple country nanoenzyme developer like me."
"https://imgs.xkcd.com/comics/first_time_since_early_2020.png","First Time Since Early 2020","Gotten the Ferris wheel operator's attention"
"https://imgs.xkcd.com/comics/product_launch.png","Product Launch","""Okay, that was weird, but the product reveal was normal. I think the danger is pas--"" ""One more thing."" ""Oh no."""
"https://imgs.xkcd.com/comics/fuzzy_blob.png","Fuzzy Blob","If there's no dome, how do you explain the irregularities the board discovered in the zoning permits issued in that area!?"
"https://imgs.xkcd.com/comics/hippo_attacks.png","Hippo Attacks","It's cool how, when there's a number lots of people are curious about, but which isn't easy to measure, some random guess will get cited everywhere and become the universally quoted value. Unrelatedly, did you know there are 850 trillion waves in the ocean?"
"https://imgs.xkcd.com/comics/next_slide_please.png","Next Slide Please","""I have nothing to offer but blood--next slide, please--toil--next slide, please--tears, and--next slide, please--sweat."""
"https://imgs.xkcd.com/comics/astronomy_status_board.png","Astronomy Status Board","Junior astronomers hate getting put on board update duty, but someone's gotta make sure that stuff is still up there."
"https://imgs.xkcd.com/comics/inheritance.png","Inheritance","People ask me whether I feel any moral qualms about the source of the points, but if he hadn't introduced factory farming to Agricola, someone else would have."
"https://imgs.xkcd.com/comics/wikipedia_caltrops.png","Wikipedia Caltrops","Oh no, they set up a roadblock which is just a sign with the entire 'Czech hedgehog' article printed on it."
"https://imgs.xkcd.com/comics/in_your_classroom.png","In Your Classroom","Ontology is way off to the left and geography is way off to the right."
"https://imgs.xkcd.com/comics/dimensional_chess.png","Dimensional Chess","In Dimensional Chess, every move is annotated '?!'."
"https://imgs.xkcd.com/comics/mullers_ratchet.png","Muller's Ratchet","Who knew you could learn so much about sexual reproduction from looking at pictures on the internet!"
"https://imgs.xkcd.com/comics/astrophotography.png","Astrophotography","[One hill over, a competing astrophotographer does a backflip over a commercial airliner while throwing a tray of plastic space stations into the air, through which a falcon swoops to 'grab' the real one.]"
"https://imgs.xkcd.com/comics/nasa_award.png","NASA Award","The key to discovering life on Mars is to find someone who built a camera and landed it on Mars. Then you just look through the pictures for plants and dogs and stuff."
"https://imgs.xkcd.com/comics/90s_kid_space_program.png","90's Kid Space Program","NASA may not want to admit it, but at this point they ARE the 90's Kid Space Program."
"https://imgs.xkcd.com/comics/vaccinated.png","Vaccinated","I built a model that combines local case rates and vaccination stats to estimate when it's reasonable to attend various types of party, but I forgot to include anything about where to find them."
"https://imgs.xkcd.com/comics/march_2020.png","March 2020","""I've traveled here from the year 2020 to bring you this vaccine!"""
"https://imgs.xkcd.com/comics/bubble_wrap.png","Bubble Wrap","I think of myself as the David Attenborough of factory mailing equipment."
"https://imgs.xkcd.com/comics/after_the_pandemic.png","After the Pandemic","I'm looking forward to having to worry a lot less about covid, but wouldn't mind if we worried a little more about giving each other colds. Colds are bad!"
"https://imgs.xkcd.com/comics/types_of_scientific_paper.png","Types of Scientific Paper","Others include ""We've incrementally improved the estimate of this coefficient,"" ""Maybe all these categories are wrong,"" and ""We found a way to make student volunteers worse at tasks."""
"https://imgs.xkcd.com/comics/virus_consulting.png","Virus Consulting","All our teams make an effort to stay optimistic, but I will say that once our virus division saw the vaccine efficacy data, they started asking for payment up front."
"https://imgs.xkcd.com/comics/fully_vaccinated.png","Fully Vaccinated","""You still can't walk into someone's house without being invited!"" ""What? Oh, I see your confusion. No, this vaccine is for a bat VIRUS. I'm fine with doorways and garlic and stuff."""
"https://imgs.xkcd.com/comics/excel_lambda.png","Excel Lambda","Extremely rude how Turing's later formulations of the halting problem called me out by name specifically."
"https://imgs.xkcd.com/comics/aviation_firsts.png","Aviation Firsts","Mile High Club membership [✓] [ ] Discovery of parts of Amelia Earhart's skeleton [ ] [ ] Mid-flight incident that results in safe landing on the Hudson River [✓] [ ]"
"https://imgs.xkcd.com/comics/ai_methodology.png","AI Methodology","We've learned that weird spacing and diacritics in the methodology description are apparently the key to good research; luckily, we've developed an AI tool to help us figure out where to add them."
"https://imgs.xkcd.com/comics/post_vaccine_social_scheduling.png","Post Vaccine Social Scheduling","As if these problems weren't NP-hard enough."
"https://imgs.xkcd.com/comics/iss_vaccine.png","ISS Vaccine","Because they orbit the Earth every 90 minutes, some astronauts should try to argue that, due to CDC regulations and time zone technicalities, they should be able to get their second dose just 30 or 40 hours after their first."
"https://imgs.xkcd.com/comics/eradication.png","Eradication","When you get to hell, tell smallpox we say hello."
"https://imgs.xkcd.com/comics/hammer_incident.png","Hammer Incident","I still think the Cold Stone Creamery partnership was a good idea, but I should have asked before doing the first market trials during the cryogenic mirror tests."
"https://imgs.xkcd.com/comics/spike_proteins.png","Spike Proteins","Ugh, it's stuck to my laptop. It must have bound to the ACER-2 receptor."
"https://imgs.xkcd.com/comics/checkbox.gif","Checkbox","Check check check ... chhecck chhecck chhecck ... check check check"
"https://imgs.xkcd.com/comics/ingenuity.png","Ingenuity","Plot twist: Thanks to [mumble mumble] second-order [mumble] Rayleigh-Taylor [mumble] turbulent [mumble] shear, it turns out powered flight is way EASIER on Mars!"
"https://imgs.xkcd.com/comics/immune_response.png","Immune Response","I don't care whether you win or lose, as long as you have-- ...okay, sorry, I'm being reminded I very much care whether you win or lose. I need you to win, that's very important."
"https://imgs.xkcd.com/comics/mask_opinions.png","Mask Opinions","Although regardless of how everything else shakes out, I definitely won't mind if the norm ""wear a mask if you're feeling sick"" sticks around after this."
"https://imgs.xkcd.com/comics/imdb_vaccines.png","IMDb Vaccines","I'm actually not sure if Vader and the Emperor count as a household or if Vader lives in that weird black egg thing or what."
"https://imgs.xkcd.com/comics/epistemic_uncertainty.png","Epistemic Uncertainty","Luckily, unlike in our previous study, we have no reason to believe Evangeline the Adulterator gained access to our stored doses."
